pixel_x,time_seconds,magnitude,magnitude_smooth
461,96.86386793008785,-1.899655180670961,-1.432532745863365
462,97.57662521870424,-1.6314923014295633,-1.432532745863365
463,98.28938250732068,-1.432532745863365,-1.4844352386197643
464,99.00213979593707,-1.0173128038121684,-1.432532745863365
465,99.71489708455346,-1.0086623883527688,-1.0173128038121684
466,100.4276543731699,-1.9515576734273603,-1.0086623883527688
467,101.14041166178629,-0.45503579895117374,-0.45503579895117374
468,101.85316895040268,-0.45503579895117374,-0.45503579895117374
469,102.56592623901912,-0.43773496803237366,-0.45503579895117374
470,103.27868352763551,0.07263954407222162,-0.45503579895117374
471,103.99144081625195,-0.5155887071669731,-0.5155887071669731
472,104.70419810486834,-0.5155887071669731,-0.5155887071669731
473,105.41695539348473,-0.6280441081391723,-0.6280441081391723
474,106.12971268210117,-0.6280441081391723,-0.6280441081391723
475,106.84246997071756,-0.653995354517372,-0.653995354517372
476,107.55522725933395,-0.956759895596369,-0.956759895596369
477,108.26798454795039,-1.2422236057565668,-1.2422236057565668
478,108.98074183656678,-1.9429072579679605,-1.346028591269366
479,109.69349912518317,-1.432532745863365,-1.346028591269366
480,110.40625641379961,-1.6055410550513634,-1.432532745863365
481,111.119013702416,-1.346028591269366,-1.6055410550513634
482,111.83177099103239,-1.2422236057565668,-1.6055410550513634
483,112.54452827964883,-1.6314923014295633,-1.6228418859701634
484,113.25728556826522,-1.7525981178611623,-1.6228418859701634
485,113.9700428568816,-2.0121105816431597,-1.6228418859701634
486,114.68280014549805,-1.6228418859701634,-1.6228418859701634
487,115.39555743411444,-1.3806302531069656,-1.6228418859701634
488,116.10831472273088,-1.3806302531069656,-1.6228418859701634
489,116.82107201134727,-1.4238823304039652,-1.6228418859701634
490,117.53382929996366,-1.7179964560235625,-1.7179964560235625
491,118.2465865885801,-1.7525981178611623,-1.7266468714829624
492,118.95934387719649,-1.7266468714829624,-1.7352972869423624
493,119.67210116581288,-1.7439477024017624,-1.7439477024017624
494,120.38485845442932,-1.8218014415363617,-1.7525981178611623
495,121.09761574304571,-1.7352972869423624,-1.8218014415363617
496,121.8103730316621,-1.8564031033739612,-1.8564031033739612
497,122.52313032027854,-1.9342568425085607,-1.873703934292761
498,123.23588760889493,-2.1591676444529586,-1.891004765211561
499,123.94864489751131,-2.0207609971025597,-1.891004765211561
500,124.66140218612776,-1.873703934292761,-1.891004765211561
501,125.37415947474415,-1.891004765211561,-1.873703934292761
502,126.08691676336053,-1.7958501951581618,-1.873703934292761
503,126.79967405197698,-1.666093963267163,-1.873703934292761
504,127.51243134059337,-1.657443547807763,-1.891004765211561
505,128.2251886292098,-2.089964320777759,-1.7958501951581618
506,128.9379459178262,-2.1505172289935586,-1.666093963267163
507,129.65070320644259,-2.211070137209358,-1.657443547807763
508,130.36346049505903,-1.4584839922415649,-1.4584839922415649
509,131.07621778367542,-1.0605648811091686,-1.2941260985129661
510,131.7889750722918,-1.0519144656497685,-1.1989715284595672
511,132.50173236090825,-1.2941260985129661,-1.0865161274873683
512,133.21448964952464,-1.0865161274873683,-1.0692152965685686
513,133.92724693814102,-1.1989715284595672,-1.0692152965685686
514,134.64000422675747,-1.0692152965685686,-1.0692152965685686
515,135.35276151537386,1.5086085103326088,1.5086085103326088
516,136.06551880399024,1.5086085103326088,1.5086085103326088
517,136.7782760926067,1.5086085103326088,1.5086085103326088
518,137.49103338122308,1.5086085103326088,1.5086085103326088
519,138.20379066983946,1.5086085103326088,1.5086085103326088
520,138.9165479584559,1.5086085103326088,1.5086085103326088
521,139.6293052470723,1.5086085103326088,1.5086085103326088
522,140.34206253568874,1.5086085103326088,1.5086085103326088
523,141.05481982430513,1.5086085103326088,1.5086085103326088
524,141.76757711292151,1.5086085103326088,1.5086085103326088
525,142.48033440153796,1.5086085103326088,1.5086085103326088
526,143.19309169015435,1.5086085103326088,1.5086085103326088
527,143.90584897877073,1.5086085103326088,1.5086085103326088
528,144.61860626738718,1.5086085103326088,1.5086085103326088
529,145.33136355600357,1.5086085103326088,1.5086085103326088
530,146.04412084461995,1.5086085103326088,1.5086085103326088
531,146.7568781332364,1.5086085103326088,1.5086085103326088
532,147.4696354218528,1.5086085103326088,1.5086085103326088
533,148.18239271046917,1.5086085103326088,1.5086085103326088
534,148.89514999908562,1.5086085103326088,1.5086085103326088
535,149.607907287702,1.5086085103326088,1.5086085103326088
536,150.3206645763184,1.5086085103326088,1.5086085103326088
537,151.03342186493484,1.5086085103326088,1.5086085103326088
538,151.74617915355122,1.5086085103326088,1.5086085103326088
539,152.45893644216767,1.5086085103326088,1.5086085103326088
540,153.17169373078406,1.5086085103326088,1.5086085103326088
541,153.88445101940044,-0.1349704269533767,-0.12632001149397665
542,154.5972083080169,-0.12632001149397665,-0.1349704269533767
543,155.30996559663328,-0.15227125787217677,-0.1349704269533767
544,156.02272288524966,-0.3598812288977751,-0.1349704269533767
545,156.7354801738661,-1.1297682047843678,-0.15227125787217677
546,157.4482374624825,0.133192452288021,-0.3598812288977751
547,158.16099475109888,0.14184286774742105,-0.8443044946241702
548,158.87375203971533,-2.8512008812049525,-1.1297682047843678
549,159.58650932833172,-1.4065814994851653,-1.1816706975407674
550,160.2992666169481,-0.8443044946241702,-1.1989715284595672
551,161.01202390556455,-1.1816706975407674,-1.4065814994851653
552,161.72478119418093,-1.1989715284595672,-1.4065814994851653
553,162.43753848279732,-1.8823543497521609,-1.4584839922415649
554,163.15029577141377,-1.8564031033739612,-1.4584839922415649
555,163.86305306003015,-1.4584839922415649,-1.4671344077009647
556,164.5758103486466,-1.4671344077009647,-1.4757848231603645
557,165.288567637263,-1.3719798376475656,-1.4757848231603645
558,166.00132492587937,-1.4757848231603645,-1.4757848231603645
559,166.71408221449582,-2.0813139053183596,-1.899655180670961
